Geography Name,Geography Type,Year,Hour of Day,Avg. Demand (kW)
880d58486bfffff,H3,2028,18,21.0
880d58486bfffff,H3,2028,19,22.3
880d58486bfffff,H3,2028,20,23.0
880d58486bfffff,H3,2028,21,22.4
880d58486bfffff,H3,2028,22,20.9
880d58486bfffff,H3,2028,23,18.5
880d5a91e7fffff,H3,2028,0,32.6
880d5a91e7fffff,H3,2028,1,28.3
880d5a91e7fffff,H3,2028,2,24.4
880d5a91e7fffff,H3,2028,3,21.6
880d5a91e7fffff,H3,2028,4,19.3
880d5a91e7fffff,H3,2028,5,17.6
880d5a91e7fffff,H3,2028,6,16.2
880d5a91e7fffff,H3,2028,7,13.8
880d5a91e7fffff,H3,2028,8,12.0
880d5a91e7fffff,H3,2028,9,11.7
880d5a91e7fffff,H3,2028,10,12.7
880d5a91e7fffff,H3,2028,11,14.5
880d5a91e7fffff,H3,2028,12,16.9
880d5a91e7fffff,H3,2028,13,19.1
880d5a91e7fffff,H3,2028,14,20.8
880d5a91e7fffff,H3,2028,15,24.5
880d5a91e7fffff,H3,2028,16,30.5
880d5a91e7fffff,H3,2028,17,38.9
880d5a91e7fffff,H3,2028,18,44.5
880d5a91e7fffff,H3,2028,19,47.0
880d5a91e7fffff,H3,2028,20,48.4
880d5a91e7fffff,H3,2028,21,47.0
880d5a91e7fffff,H3,2028,22,43.6
880d5a91e7fffff,H3,2028,23,38.6
880d5a9a1bfffff,H3,2028,0,1.4
880d5a9a1bfffff,H3,2028,1,1.1
880d5a9a1bfffff,H3,2028,2,1.0
880d5a9a1bfffff,H3,2028,3,0.9
880d5a9a1bfffff,H3,2028,4,0.8
880d5a9a1bfffff,H3,2028,5,0.8
880d5a9a1bfffff,H3,2028,6,0.7
880d5a9a1bfffff,H3,2028,7,0.6
880d5a9a1bfffff,H3,2028,8,0.6
880d5a9a1bfffff,H3,2028,9,0.6
880d5a9a1bfffff,H3,2028,10,0.6
880d5a9a1bfffff,H3,2028,11,0.7
880d5a9a1bfffff,H3,2028,12,0.8
880d5a9a1bfffff,H3,2028,13,0.9
880d5a9a1bfffff,H3,2028,14,0.9
880d5a9a1bfffff,H3,2028,15,1.1
880d5a9a1bfffff,H3,2028,16,1.4
880d5a9a1bfffff,H3,2028,17,1.8
880d5a9a1bfffff,H3,2028,18,2.0
880d5a9a1bfffff,H3,2028,19,2.2
880d5a9a1bfffff,H3,2028,20,2.2
880d5a9a1bfffff,H3,2028,21,2.0
880d5a9a1bfffff,H3,2028,22,1.8
880d5a9a1bfffff,H3,2028,23,1.6
880d5a9addfffff,H3,2028,0,4.2
880d5a9addfffff,H3,2028,1,3.6
880d5a9addfffff,H3,2028,2,3.2
880d5a9addfffff,H3,2028,3,2.8
880d5a9addfffff,H3,2028,4,2.6
880d5a9addfffff,H3,2028,5,2.4
880d5a9addfffff,H3,2028,6,2.0
880d5a9addfffff,H3,2028,7,1.7
880d5a9addfffff,H3,2028,8,1.5
880d5a9addfffff,H3,2028,9,1.4
880d5a9addfffff,H3,2028,10,1.5
880d5a9addfffff,H3,2028,11,1.7
880d5a9addfffff,H3,2028,12,2.0
880d5a9addfffff,H3,2028,13,2.2
880d5a9addfffff,H3,2028,14,2.5
880d5a9addfffff,H3,2028,15,3.0
880d5a9addfffff,H3,2028,16,3.6
880d5a9addfffff,H3,2028,17,4.7
880d5a9addfffff,H3,2028,18,5.5
880d5a9addfffff,H3,2028,19,5.9
880d5a9addfffff,H3,2028,20,6.1
880d5a9addfffff,H3,2028,21,6.0
880d5a9addfffff,H3,2028,22,5.6
880d5a9addfffff,H3,2028,23,5.0
880d5b863bfffff,H3,2028,0,13.8
880d5b863bfffff,H3,2028,1,11.9
