Year,Hour of Day,Avg. Demand,County
2024,19,2.2,pennington
2024,20,2.3,pennington
2024,21,2.3,pennington
2024,22,2.0,pennington
2024,23,1.8,pennington
2024,0,5.3,pennington
2024,1,4.7,pennington
2024,2,4.0,pennington
2024,3,3.6,pennington
2024,4,3.3,pennington
2024,5,3.0,pennington
2024,6,2.7,pennington
2024,7,2.2,pennington
2024,8,1.9,pennington
2024,9,1.8,pennington
2024,10,2.0,pennington
2024,11,2.3,pennington
2024,12,2.6,pennington
2024,13,3.0,pennington
2024,14,3.3,pennington
2024,15,3.9,pennington
2024,16,4.8,pennington
2024,17,6.1,pennington
2024,18,7.2,pennington
2024,19,7.6,pennington
2024,20,7.8,pennington
2024,21,7.7,pennington
2024,22,7.0,pennington
2024,23,6.2,pennington
2024,0,2.4,meade
2024,1,2.2,meade
2024,2,1.8,meade
2024,3,1.6,meade
2024,4,1.5,meade
2024,5,1.4,meade
2024,6,1.2,meade
2024,7,1.0,meade
2024,8,0.8,meade
2024,9,0.8,meade
2024,10,0.9,meade
2024,11,1.0,meade
2024,12,1.1,meade
2024,13,1.2,meade
2024,14,1.5,meade
2024,15,1.7,meade
2024,16,2.2,meade
2024,17,2.7,meade
2024,18,3.2,meade
2024,19,3.4,meade
2024,20,3.5,meade
2024,21,3.5,meade
2024,22,3.2,meade
2024,23,2.8,meade
2024,0,1.9,stearns
2024,1,1.7,stearns
2024,2,1.5,stearns
2024,3,1.4,stearns
2024,4,1.2,stearns
2024,5,1.0,stearns
2024,6,0.9,stearns
2024,7,0.8,stearns
2024,8,0.7,stearns
2024,9,0.7,stearns
2024,10,0.7,stearns
2024,11,0.8,stearns
2024,12,0.9,stearns
2024,13,1.0,stearns
2024,14,1.1,stearns
2024,15,1.2,stearns
2024,16,1.6,stearns
2024,17,2.2,stearns
2024,18,2.5,stearns
2024,19,2.7,stearns
2024,20,2.8,stearns
2024,21,2.7,stearns
2024,22,2.5,stearns
2024,23,2.3,stearns
2024,0,1.4,morrison
2024,1,1.1,morrison
2024,2,1.0,morrison
2024,3,0.9,morrison
2024,4,0.8,morrison
2024,5,0.8,morrison
2024,6,0.7,morrison
2024,7,0.6,morrison
2024,8,0.5,morrison
2024,9,0.5,morrison
2024,10,0.6,morrison
2024,11,0.6,morrison
2024,12,0.7,morrison
2024,13,0.8,morrison
2024,14,0.9,morrison
2024,15,1.0,morrison
2024,16,1.2,morrison
2024,17,1.6,morrison
2024,18,1.8,morrison
2024,19,1.9,morrison
2024,20,2.0,morrison
2024,21,1.9,morrison
2024,22,1.8,morrison
2024,23,1.6,morrison
2024,0,5.3,cass
2024,1,4.7,cass
2024,2,4.1,cass
2024,3,3.6,cass
2024,4,3.3,cass
2024,5,3.0,cass
2024,6,2.7,cass
2024,7,2.2,cass
2024,8,1.8,cass
2024,9,1.7,cass
2024,10,1.9,cass
2024,11,2.2,cass
2024,12,2.5,cass
2024,13,2.8,cass
2024,14,3.2,cass
2024,15,3.6,cass
2024,16,4.5,cass
2024,17,6.0,cass
2024,18,7.0,cass
2024,19,7.6,cass
2024,20,7.8,cass
2024,21,7.7,cass
2024,22,7.2,cass
2024,23,6.4,cass
2024,0,1.4,story
2024,1,1.2,story
2024,2,1.0,story
2024,3,0.9,story
2024,4,0.8,story
2024,5,0.8,story
2024,6,0.7,story
2024,7,0.6,story
2024,8,0.5,story
2024,9,0.5,story
2024,10,0.5,story
2024,11,0.6,story
2024,12,0.7,story
2024,13,0.7,story
2024,14,0.8,story
2024,15,0.9,story
2024,16,1.1,story
2024,17,1.5,story
